i t
20 201016530
40 381216418
60 387088659
80 405573096
100 400700945
120 410024264
140 426783216
160 470497692
180 492058674
200 501640587
220 521307706
240 492946560
260 483063296
280 518744924
300 505343599
320 524757096
340 520819456
360 536994757
380 544813878
400 564122108
420 547130392
440 548018024
460 535447478
480 539729530
500 538869662
520 542631838
540 552610504
560 550786181
580 550090036
600 553707676
620 555933247
640 562134703
660 565089911
680 566829950
700 578622365
720 578091196
740 570459549
760 570141378
780 578689610
800 584437017
820 586406364
840 584773583
860 583855430
880 589813254
900 583280856
920 594119272
940 595566718
960 599669000
980 592122717
1000 598464463
